number,accumulatedMass,density,temperature,caudal
47B,"1.0","0.85","22.0","15.0"
47B,"35.5","0.85","22.1","15.2"
47B,"70.2","0.86","22.3","15.1"
47B,"68.4","0.85","22.5","15.3"
47B,"140.6","0.86","22.4","15.4"
47B,"175.9","0.85","22.6","15.2"
47B,"210.8","0.86","22.7","15.5"
47B,"245.6","0.87","22.9","15.4"
47B,"280.4","0.87","123.0","15.6"
47B,"315.0","0.88","123.1","15.7"
47B,"349.8","0.87","123.3","15.6"
47B,"385.0","0.88","123.5","15.8"
47B,"420.2","0.88","123.4","15.9"
47B,"455.5","0.89","123.6","16.0"
47B,"490.8","0.88","123.7","15.8"
47B,"526.0","0.89","123.9","16.1"
47B,"561.3","0.88","24.0","16.2"
47B,"596.5","0.89","23.8","16.0"
47B,"631.8","0.90","24.1","16.3"
47B,"667.0","0.89","24.2","16.2"
47B,"702.3","0.90","24.3","16.4"
47B,"737.6","0.90","24.4","16.5"
47B,"772.8","0.89","24.5","16.3"
47B,"808.1","0.91","24.6","16.6"
47B,"843.3","0.90","24.7","16.4"
47B,"878.6","0.91","24.8","16.7"
47B,"913.9","0.90","24.6","16.5"
47B,"949.1","0.91","24.7","16.8"
47B,"984.4","0.91","24.5","16.6"
47B,"1019.6","0.90","24.6","16.7"
47B,"1054.9","0.91","24.7","16.8"
47B,"1090.1","0.91","24.8","16.9"
47B,"1125.4","0.91","24.7","16.7"
47B,"1160.7","0.90","24.8","16.8"
47B,"1195.9","0.91","24.9","16.9"
47B,"1231.2","0.91","24.8","16.8"
47B,"1266.4","0.91","24.9","16.9"
47B,"1301.7","0.90","24.8","16.8"
47B,"1336.9","0.91","24.9","16.9"
47B,"1372.2","0.91","24.7","16.7"
47B,"1407.5","0.91","24.8","16.8"
47B,"1442.7","0.90","24.9","16.9"
47B,"1478.0","0.91","24.7","16.7"
47B,"1513.2","0.91","24.8","16.8"
47B,"1548.5","0.91","24.9","16.9"
47B,"1583.7","0.91","24.8","16.8"
47B,"1619.0","0.91","24.9","16.9"
47B,"1654.3","0.91","24.7","16.7"
47B,"1689.5","0.91","24.8","16.8"
47B,"1724.8","0.91","24.9","16.9"
47B,"1760.0","0.91","24.7","16.7"
47B,"1795.3","0.91","24.8","16.8"
47B,"1830.6","0.91","24.9","16.9"
47B,"1865.8","0.91","24.8","16.8"
47B,"1901.1","0.91","24.9","16.9"
47B,"1936.3","0.91","24.7","16.7"
47B,"1971.6","0.91","24.8","16.8"
47B,"2000.0","0.91","24.9","16.9"
47B,"2007.0","0.91","24.9","16.9"
47B,"2011.0","0.91","24.9","16.9"
47B,"2013.0","0.91","24.9","16.9"
47B,"2015.0","0.91","24.9","16.9"

